,label,Frequency,Date
0,Mask guidelines and policies ,6.0,2020-01-27
1, Who is at risk? ,32.0,2020-01-27
2, Political legitimizing of risk ,2.0,2020-01-27
3, Mask effectiveness ,23.0,2020-01-27
4, Mask behavior of others ,39.0,2020-01-27
5, COVID severity ,39.0,2020-01-27
7,Mask guidelines and policies ,2.0,2020-02-03
8, Who is at risk? ,14.0,2020-02-03
9, Political legitimizing of risk ,1.0,2020-02-03
10, Mask effectiveness ,2.0,2020-02-03
11, Mask behavior of others ,21.0,2020-02-03
12, COVID severity ,20.0,2020-02-03
14,Mask guidelines and policies ,0.0,2020-02-10
15, Who is at risk? ,11.0,2020-02-10
16, Political legitimizing of risk ,1.0,2020-02-10
17, Mask effectiveness ,7.0,2020-02-10
18, Mask behavior of others ,13.0,2020-02-10
19, COVID severity ,12.0,2020-02-10
21,Mask guidelines and policies ,1.0,2020-02-17
22, Who is at risk? ,9.0,2020-02-17
23, Political legitimizing of risk ,3.0,2020-02-17
24, Mask effectiveness ,4.0,2020-02-17
25, Mask behavior of others ,6.0,2020-02-17
26, COVID severity ,6.0,2020-02-17
28,Mask guidelines and policies ,7.0,2020-02-24
29, Who is at risk? ,25.0,2020-02-24
30, Political legitimizing of risk ,15.0,2020-02-24
31, Mask effectiveness ,21.0,2020-02-24
32, Mask behavior of others ,25.0,2020-02-24
33, COVID severity ,36.0,2020-02-24
35,Mask guidelines and policies ,22.0,2020-03-02
36, Who is at risk? ,56.0,2020-03-02
37, Political legitimizing of risk ,26.0,2020-03-02
38, Mask effectiveness ,41.0,2020-03-02
39, Mask behavior of others ,52.0,2020-03-02
40, COVID severity ,68.0,2020-03-02
42,Mask guidelines and policies ,7.0,2020-03-09
43, Who is at risk? ,24.0,2020-03-09
44, Political legitimizing of risk ,10.0,2020-03-09
45, Mask effectiveness ,9.0,2020-03-09
46, Mask behavior of others ,17.0,2020-03-09
47, COVID severity ,19.0,2020-03-09
49,Mask guidelines and policies ,31.0,2020-03-16
50, Who is at risk? ,63.0,2020-03-16
51, Political legitimizing of risk ,22.0,2020-03-16
52, Mask effectiveness ,14.0,2020-03-16
53, Mask behavior of others ,17.0,2020-03-16
54, COVID severity ,34.0,2020-03-16
56,Mask guidelines and policies ,80.0,2020-03-23
57, Who is at risk? ,119.0,2020-03-23
58, Political legitimizing of risk ,33.0,2020-03-23
59, Mask effectiveness ,35.0,2020-03-23
60, Mask behavior of others ,28.0,2020-03-23
61, COVID severity ,81.0,2020-03-23
63,Mask guidelines and policies ,232.0,2020-03-30
64, Who is at risk? ,205.0,2020-03-30
65, Political legitimizing of risk ,104.0,2020-03-30
66, Mask effectiveness ,51.0,2020-03-30
67, Mask behavior of others ,70.0,2020-03-30
68, COVID severity ,73.0,2020-03-30
70,Mask guidelines and policies ,114.0,2020-04-06
71, Who is at risk? ,102.0,2020-04-06
