id,screen_name,state,create_at,Codes,Majority Vote,Confidence Score,Comments
1,JimE3434,Tennessee,1/29/2020, Who is at risk? , Who is at risk? ,1,
2,najeesho,Illinois,1/29/2020, Nonrelevant, Nonrelevant,1,
3,E205Krigdaddy,California,1/30/2020," COVID severity 
 Mask behavior of others "," COVID severity 
 Mask behavior of others ",1,
4,sargonas,California,2/1/2020, Mask effectiveness , Mask effectiveness ,1,
5,saurabhd04,Colorado,2/2/2020, COVID severity , COVID severity ,1,
6,Choni_,California,2/3/2020, Who is at risk? , Who is at risk? ,1,
7,ssalcbp,New York,2/3/2020," COVID severity 
 Who is at risk? "," COVID severity 
 Who is at risk? ",1,
8,JimE3434,Tennessee,2/4/2020," Who is at risk? 
 Mask behavior of others "," Who is at risk? 
 Mask behavior of others ",1,
9,BuchElisabeth,New York,2/4/2020, Nonrelevant, Nonrelevant,1,
10,Matthew_Dyer,New York,2/6/2020," COVID severity 
 Mask behavior of others "," COVID severity 
 Mask behavior of others ",1,
11,salcedo_arturo,California,2/10/2020," COVID severity 
 Who is at risk? "," COVID severity 
 Who is at risk? ",1,
12,Brm7bj,Pennsylvania,2/12/2020, Nonrelevant, Nonrelevant,1,
13,MNecomb,New York,2/14/2020, COVID severity , COVID severity ,1,
14,nanogenomic,California,2/15/2020, Who is at risk? , Who is at risk? ,1,
15,ElisaNorio,District of Columbia,2/25/2020,"Mask guidelines and policies 
 Mask effectiveness ","Mask guidelines and policies 
 Mask effectiveness ",1,
16,icarus_two,Kentucky,2/29/2020," Political legitimizing of risk 
 COVID severity "," Political legitimizing of risk 
 COVID severity ",1,
17,antoniodivine,Florida,2/29/2020, Nonrelevant, Nonrelevant,1,
18,therealkarlaaa,Oregon,3/1/2020, Mask behavior of others , Mask behavior of others ,1,
19,MizRosado,New York,3/2/2020, Mask effectiveness , Mask effectiveness ,1,
20,kortnimigel,Nebraska,3/2/2020," COVID severity 
 Who is at risk? "," COVID severity 
 Who is at risk? ",1,
21,jtighe08,South Carolina,3/2/2020," Political legitimizing of risk 
 COVID severity 
 Who is at risk? "," Political legitimizing of risk 
 COVID severity 
 Who is at risk? ",1,MISSING: MASK EFFECTIVENSS AS A CODE 
22,kkcaseman,West Virginia,3/4/2020, Mask effectiveness , Mask effectiveness ,1,
23,deuceohsixx,Washington,3/4/2020, Mask effectiveness , Mask effectiveness ,1,
24,brianamorgana,Ohio,3/4/2020, COVID severity , COVID severity ,1,
25,mary___stamm,New York,3/5/2020,"Mask guidelines and policies 
 Who is at risk? ","Mask guidelines and policies 
 Who is at risk? ",1,
26,DeusEx_Caffeina,Pennsylvania,3/5/2020, Mask effectiveness , Mask effectiveness ,1,
27,Slingbahdabing,Iowa,3/5/2020, COVID severity , COVID severity ,1,
28,http_teenspirit,Illinois,3/6/2020," Mask behavior of others 
 Mask effectiveness "," Mask behavior of others 
 Mask effectiveness ",1,
29,The_VillageMom,California,3/7/2020," Political legitimizing of risk 
 COVID severity "," Political legitimizing of risk 
 COVID severity ",1,
30,tpolitowski,California,3/8/2020, Who is at risk? , Who is at risk? ,1,
31,bradsund,California,3/8/2020, Who is at risk? , Who is at risk? ,1,
32,loriej9,Pennsylvania,3/9/2020, Mask behavior of others , Mask behavior of others ,1,
33,ibarraly,Texas,3/10/2020, COVID severity , COVID severity ,1,
34,JustinRexPhoto,Texas,3/11/2020, Nonrelevant, Nonrelevant,1,
35,rubioboi559,California,3/17/2020, Who is at risk? , Who is at risk? ,1,
36,drklauser,California,3/21/2020,Mask guidelines and policies ,Mask guidelines and policies ,1,
37,NicholeManna,Texas,3/21/2020," COVID severity 
 Who is at risk? "," COVID severity 
 Who is at risk? ",1,
38,tcmackin,Minnesota,3/22/2020, COVID severity , COVID severity ,1,
39,kswobo,Massachusetts,3/22/2020,Mask guidelines and policies ,Mask guidelines and policies ,1,
40,RealDoctorMike,New York,3/22/2020, Nonrelevant, Nonrelevant,1,
41,USC_Urology,California,3/22/2020," COVID severity 
 Who is at risk? "," COVID severity 
 Who is at risk? ",1,implied healthcare workers need masks 
42,scallliewagg,New Jersey,3/23/2020,"Mask guidelines and policies 
 Who is at risk? ","Mask guidelines and policies 
 Who is at risk? ",1,
43,familydocwonk,California,3/23/2020, Who is at risk? , Who is at risk? ,1,
44,chaz_hong,Maryland,3/24/2020,Mask guidelines and policies ,Mask guidelines and policies ,1,
45,rayrothfe,Pennsylvania,3/24/2020, Mask behavior of others , Mask behavior of others ,1,
46,ejclark64,Colorado,3/24/2020," Who is at risk? 
 Mask effectiveness "," Who is at risk? 
 Mask effectiveness ",1,
47,Paudel_NR,California,3/24/2020," Mask behavior of others 
 Mask effectiveness "," Mask behavior of others 
 Mask effectiveness ",1,
48,TRCoffeeLady,Virginia,3/24/2020," COVID severity 
 Mask behavior of others "," COVID severity 
 Mask behavior of others ",1,
49,NeilFlochMD,Connecticut,3/25/2020,"Mask guidelines and policies 
 Who is at risk? ","Mask guidelines and policies 
 Who is at risk? ",1,
50,FrankSowa1,Pennsylvania,3/25/2020, Who is at risk? , Who is at risk? ,1,
51,TamPaulina,New York,3/25/2020," COVID severity 
 Who is at risk? "," COVID severity 
 Who is at risk? ",1,
52,kevinjbrown65,New York,3/26/2020," COVID severity 
 Who is at risk? "," COVID severity 
 Who is at risk? ",1,
53,ShenequeProctor,Massachusetts,3/27/2020,Mask guidelines and policies ,Mask guidelines and policies ,1,
54,RickGuasco,Illinois,3/27/2020, Who is at risk? , Who is at risk? ,1,
55,traceannnat,Georgia,3/27/2020,Mask guidelines and policies ,Mask guidelines and policies ,1,
56,rlsullyjr82,Texas,3/29/2020, Mask behavior of others , Mask behavior of others ,1,return to old norms
57,bhalomanush,Virginia,3/29/2020,"Mask guidelines and policies 
 Who is at risk? 
 Mask effectiveness ","Mask guidelines and policies 
 Who is at risk? 
 Mask effectiveness ",1,
